DER_mass_MMC DER_mass_transverse_met_lep DER_mass_vis DER_pt_h DER_deltaeta_jet_jet DER_mass_jet_jet DER_prodeta_jet_jet DER_deltar_tau_lep DER_pt_tot DER_sum_pt DER_pt_ratio_lep_tau DER_met_phi_centrality DER_lep_eta_centrality
 136.366    8.881   90.791   41.546    0.187   52.582   14.717    2.728    1.510  151.937    1.039    1.287    0.000
  99.192    7.499   52.849  137.266    1.357  298.791   -0.046    1.308    1.648  348.269    0.529    0.784    0.483
 124.553   12.935   83.404  281.449    2.899  560.766   -0.353    0.861   10.297  532.047    0.275    0.737    0.975
  95.306   12.469   60.890  181.597    0.148   63.891    0.422    1.005   47.606  425.823    0.620    1.383    0.000
  75.635   41.268   55.666   56.338    0.271   24.335    0.723    1.887   27.150  149.161    2.040    1.198    0.000
  69.376   20.718   39.633  133.384    0.736   75.409    0.881    1.143    2.423  213.192    1.674    1.388    0.995
 122.425   80.732   82.185  150.943    1.847  196.798   -0.244    1.469   17.817  290.027    0.677    0.760    0.017
 164.596   56.515   94.840   52.940    4.282  403.367   -4.477    3.148   22.132  163.898    1.011    1.405    0.924
 159.139   35.853  104.709   54.077    3.532  197.838   -0.626    3.022   22.210  189.696    0.486    1.412    0.965
  98.184   67.531   79.849   26.137    1.353   90.326    4.445    1.897   27.574  171.593    0.954   -1.412    0.999
  49.257    8.804   28.058  159.099    0.185   81.725    0.024    0.776   71.212  262.908    2.431    0.828    0.000
 144.906   60.270  100.607  306.445    0.280   95.768    0.065    1.015  138.981  683.650    0.362    0.936    0.000
 143.708   58.129   91.414  131.989    0.594   51.338    0.352    1.870    1.079  247.222    0.548    1.291    0.000
  87.030    9.910   36.963  143.223    1.602  200.942    1.399    1.458   18.781  264.655    1.288    1.226    0.951
  84.507   15.130   56.811   84.842    4.486 1015.410   -5.030    1.744   44.783  286.529    1.566    0.532    0.884
  91.869   72.701   48.235   90.404    2.789  376.731   -1.379    1.615   37.888  295.582    1.699    0.966    0.131
 121.790   35.199   54.503   96.124    4.745  536.950   -5.098    2.168    1.386  151.878    1.410    1.369    0.999
 109.193   65.513   77.597   86.152    0.656  126.355   -0.079    2.130    2.345  242.141    0.406   -0.332    0.207
 127.385    3.953   58.224   75.984    0.814   98.111    1.453    2.987    0.816  167.432    1.033    0.609    0.000
  67.375   34.759   40.648  117.782    1.124   70.882    0.188    1.141    1.154  195.596    0.570    1.181    0.947
 155.588   16.258  106.110   52.205    2.807  284.482    3.282    2.975   31.625  258.289    0.356   -1.412    0.105
  96.587   32.073   68.334  139.962    1.270   90.322    2.841    1.447   46.121  267.548    3.027    1.383    0.001
 112.053   47.902   66.457  122.360    6.996 1270.180  -12.136    1.814   65.812  142.996    1.218    0.436    0.998
 134.203   61.167  102.554  129.917    5.214  632.021   -6.486    2.017   42.057  285.230    0.233   -0.809    0.964
 108.428    5.604   39.349  488.238    0.351  466.174    0.658    0.579   32.673  786.149    1.045    0.903    0.000
 289.362   61.299  235.080   29.177    1.526   88.711    0.578    3.586    1.064  178.506    0.684   -1.412    0.000
 113.442   29.892   78.236   77.352    3.194  408.433   -1.716    2.291   52.564  277.654    1.679    1.413    0.768
  86.279   14.816   65.070  134.716    4.193  580.954   -4.369    1.306   20.307  297.448    3.221    1.274    0.529
 110.602   41.395   88.762  167.921    2.689  553.020   -0.876    1.487    4.846  450.704    5.423    1.274    0.890
 110.631   84.807   79.018   57.552    4.497  300.861   -3.394    2.414   27.981  146.035    0.798   -0.889    0.843
 117.702   65.409   63.111   75.133    4.298  418.263   -4.618    2.132   13.479  177.873    2.264    1.361    0.893
 407.491   45.662  301.842  118.829    0.531   49.388    0.763    3.797   27.247  228.731    2.192    1.121    0.210
 101.041    0.531   40.988  256.245    0.754  106.605   -0.137    0.938   12.372  352.370    1.083    0.992    0.000
  92.961   10.793   45.387  174.368    2.189  435.462    3.429    1.151    1.374  373.584    1.118    1.197    0.003
 278.911  110.612  191.686   44.136    1.444  107.480    0.151    4.184   32.243  197.959    1.637    0.542    0.130
  89.061    3.876   48.641  138.981    2.270  257.557   -1.074    1.289    3.458  244.202    0.676    0.390    0.978
 108.162   20.377   42.189  168.101    0.570   95.041    0.640    1.629    2.353  239.126    1.658    1.268    0.673
 127.172    7.310   76.422  100.621    2.500  229.523   -1.412    1.893   27.595  226.776    0.850    1.145    0.417
  82.329   49.059   58.551   95.189    2.618  295.183   -1.714    1.407   88.348  346.900    1.482    1.067    0.645
 141.825    7.514   89.714  109.218    0.650   54.567    0.196    2.698   31.074  236.870    2.567    0.718    0.000
 178.825  185.077   95.591   52.754    1.667  268.292    1.092    2.305   66.427  451.263    2.580   -0.838    0.000
 134.332  102.793   57.051  319.479    0.296  728.707    0.236    0.912  128.126 1123.634    3.744    1.002    0.000
 100.835   61.398   72.125   36.137    3.902  303.481   -0.995    2.554   17.281  158.416    1.148    0.884    0.970
 129.608    9.593   71.560   33.468    0.969  116.304    0.101    3.119   30.689  216.594    0.647    1.410    0.094
 141.312   54.770   94.473  147.748    1.434  202.581    3.930    1.820   50.652  287.090    1.678    0.099    0.001
  80.761   16.386   46.577  292.265    2.814  411.944   -0.730    0.630    8.182  492.156    1.910    0.654    0.852
  75.463   30.461   47.188  148.662    3.351  354.809   -2.761    1.136   39.179  271.155    2.071    1.406    0.540
  70.737   17.618   44.200   49.442    4.729  691.470   -4.110    2.320    0.225  177.059    1.217    1.371    0.953
 133.846   22.467   94.724   65.253    5.022 1333.422   -6.158    2.218   26.776  329.260    1.013    1.388    0.672
 106.204   10.874   65.021   76.828    2.991  326.570   -1.771    1.993    1.603  220.787    0.896    1.234    1.000
 113.505   38.112   76.846  207.954    4.824 1195.238   -4.619    1.040   27.876  385.176    0.737    1.292    0.423
 109.059   41.937   46.599  257.160    0.554   64.391    3.210    0.870   70.908  374.625    0.655    1.336    0.000
  97.604   25.901   59.652  160.191    4.467  699.496   -4.987    1.269    3.876  284.162    0.291    1.394    0.415
  88.252   12.214   57.711   51.076    1.508  187.133   -0.550    2.430   10.853  287.246    1.559    1.310    0.001
 112.995    1.619   64.096  112.230    5.551  929.986   -7.527    1.549    6.389  212.110    0.528    0.962    1.000
 125.948   16.827   83.349   67.359    7.496 1499.548  -14.035    2.419   14.710  158.588    1.290    1.314    0.961
 119.565   18.647   59.456  161.428    1.121   95.723    0.586    1.466    3.037  235.616    1.181    1.413    0.906
  69.295    0.853   47.766  159.473    0.191   81.409    0.020    1.055   28.932  305.645    3.463    1.014    0.015
 119.443   47.510   84.066   44.100    0.122   77.908    1.242    3.212    3.643  155.871    2.450    1.414    0.000
 132.770   48.667   98.690   44.671    3.737  618.301   -0.160    2.631    1.412  277.356    1.554    1.173    0.984
 120.878   25.199   82.989   38.512    2.819  132.363   -1.057    2.933   23.457  148.365    1.378   -1.395    0.917
 112.268   27.403   83.246   34.040    2.382  159.849   -1.183    2.238   40.515  228.144    0.859   -1.385    0.973
 115.312   45.330   79.517  140.389    0.804   79.452    1.453    1.407    1.947  273.454    1.360    1.376    0.427
 140.106   30.126  105.012   72.546    1.908  202.907    3.774    2.205    2.078  282.889    0.333   -1.356    0.003
 140.559   58.137   95.757  128.663    6.902 2177.992  -11.655    2.228    2.362  266.035    0.270    1.048    0.895
  97.318   46.189   65.393   27.143    0.363  108.458    4.632    2.793   25.868  213.396    1.012    1.355    0.000
 113.796   16.915   62.589  126.689    4.545  673.225   -1.584    1.629    6.979  225.541    1.076    1.253    0.320
  98.534   24.491   51.729  360.728    4.174  978.731   -1.081    0.719   10.129  533.563    2.544    0.436    0.065
  75.131   55.336   49.621   39.966    4.318  598.408   -3.899    2.207   45.742  280.011    1.119    0.504    0.708
  84.672    0.435   38.887  187.052    1.006   71.249   -0.209    0.934   31.795  246.137    0.687    0.992    0.768
 256.766   56.414   54.833  272.136    3.120  736.318   -1.259    1.771  136.398  442.242    1.502    1.369    0.786
  97.005   41.797   69.089  168.865    1.033   88.244   -0.058    1.384    5.172  311.223    4.567    1.412    0.103
 133.488   21.744   84.808  127.453    0.545   45.488   -0.017    1.771    3.429  232.323    0.446    1.406    0.325
  95.889   10.288   62.615   70.032    0.358   69.006    0.167    2.166    5.670  145.682    1.097    0.599    0.000
 156.000   16.900  112.813   72.488    4.651  461.050   -5.308    2.103    5.414  225.686    0.770    0.311    0.844
 121.923    9.272   52.461  269.751    0.568   92.770    0.243    0.943    6.206  381.550    0.704    1.375    0.000
  94.375    4.841   36.349  147.468    1.510  207.357   -0.457    1.647   24.620  251.668    1.271    1.080    0.074
 245.610  127.929  175.937   30.215    0.644   77.742    6.201    2.842   54.962  235.123    1.226   -1.289    0.000
 107.663   11.006   61.845   37.263    2.008  520.258   -0.779    2.809   17.458  398.027    0.740    1.350    1.000
  93.650   23.173   66.973  193.730    1.003  149.464   -0.166    1.041   19.651  370.233    0.250    1.162    0.000
 126.104   16.883   84.698   76.496    5.023  610.246   -6.301    2.067   27.154  198.040    1.104    0.431    0.975
 129.604   89.531  106.390   76.727    0.714  144.476   -0.126    3.134   52.992  367.051    4.309   -1.414    0.995
 101.757   33.195   59.423  188.092    0.618  169.639    2.265    1.149   14.889  343.018    1.594    0.560    0.036
 150.304   42.798  110.157   38.035    2.635  267.930    1.354    3.018   26.833  230.933    1.833   -1.399    0.304
 119.355   64.057   55.202  199.875    0.517   57.982    1.803    1.297    1.151  296.977    0.570    1.243    0.747
  69.896   41.069   50.084   45.956    0.242  135.101    1.178    1.665   25.159  201.508    0.664   -0.562    0.000
 110.571    7.344   75.651   51.389    3.440  345.825   -1.295    2.245    2.154  211.807    1.059    1.233    0.916
 131.332   16.652   93.724   78.105    3.319  373.919   -2.431    2.156   57.638  289.318    1.284    1.330    0.714
  86.707   10.623   46.655  332.702    0.549   99.490   -0.012    0.566   13.225  491.595    1.296    0.552    0.000
  94.702   27.538   65.046   60.548    1.272  336.385    4.413    2.268  109.070  489.890    1.915    1.409    0.001
  97.639   31.714   72.927   60.988    0.274   80.506    0.053    2.501   14.417  183.565    3.274   -1.301    0.000
 131.700   72.110   57.702  173.170    0.769   59.002    4.910    1.445   42.953  302.978    3.472    1.374    0.000
 116.835    9.326   60.100  146.808    0.778  102.179    0.503    1.511   15.524  316.399    0.489    1.281    0.000
  90.745    5.162   52.296  268.547    2.022  334.325    1.427    1.005    0.230  434.932    4.171    1.098    0.144
 125.244   22.149   65.536   59.673    0.169  165.801    0.082    2.660   50.423  338.468    0.818   -0.841    0.000
 119.131   27.758   74.018  234.462    0.560  244.192    0.444    1.081   59.583  555.019    0.330    0.037    0.036
 140.980   24.713  105.491   84.947    0.692   63.761   -0.111    2.313    0.776  176.333    0.855    0.557    0.000
 124.602   42.853   80.262   82.406    5.647  769.928   -7.972    2.151    2.624  179.631    1.022    1.411    0.977
 137.018   35.361   94.073   51.862    6.408 2110.960  -10.229    2.859    4.548  278.572    0.458    1.398    0.726
 114.902   17.829   79.809  215.177    3.309  419.236   -0.350    1.486   24.733  349.418    4.826    1.161    0.929
 118.723   43.759   57.885  249.495    2.492  493.979   -1.410    0.983   35.103  464.119    0.468    1.375    0.821
 155.552  127.874  131.103  108.281    3.068  248.235   -0.992    2.835   10.525  272.411    6.454   -1.413    0.129
  92.562   10.698   60.436   42.008    3.141  251.049   -1.615    2.653    1.060  161.862    1.426    1.320    0.224
  97.399   35.188   78.696  182.763    0.667   57.144    3.275    1.190    3.649  346.079    4.403    0.713    0.006
 118.724    0.117   76.748   79.953    0.360  155.862    2.906    2.455   24.006  233.112    1.986    0.997    0.000
 108.137   45.484   88.921  104.816    0.954   52.967    0.067    1.918    5.980  229.389    4.910   -0.617    0.110
  92.273  143.928   89.547  103.351    1.230  177.243   -0.305    1.351    1.252  343.235    2.929   -1.280    0.001
 100.474   16.824   60.662   67.083    4.213  315.657   -3.789    3.011   38.201  174.192    1.938   -1.358    0.950
  85.465   56.740   48.661   65.141    3.983  352.743   -0.902    2.169   81.533  219.273    1.395    1.092    0.729
 117.184    2.956   45.666  191.706    3.747  888.205   -2.704    1.271   44.191  350.220    0.719    1.050    0.965
 108.743   47.381   69.016   63.678    5.350 1081.561   -6.876    2.406    6.654  215.570    1.339    1.297    0.654
  93.205   20.219   55.249  276.393    1.977  422.243    2.321    0.981   43.311  556.231    4.476    0.559    0.009
 124.588    5.000   87.512  139.388    6.702 2400.007  -11.198    1.497   12.605  327.466    0.832    1.162    0.817
 132.118   13.415   93.827  248.431    3.490  555.201   -2.982    1.598   50.292  472.675    7.214    1.155    0.770
 156.688   60.610   96.363  297.342    3.117  793.821   -2.385    1.241    5.841  619.730    4.296    1.326    0.622
 105.911   10.766   58.051  110.222    1.226  772.604   -0.030    2.101   25.164  720.552    1.808    0.744    0.997
  76.172   67.205   62.978   27.832    1.296  133.403   -0.369    1.625   20.683  278.629    0.459   -1.414    0.000
 120.453   25.572   77.729  143.727    3.760  486.073   -2.348    1.491    3.760  284.327    0.389    1.410    0.961
 131.969    9.820   61.153  308.539    3.447  781.395   -2.748    0.986    2.149  565.730    1.379    1.400    0.339
  97.401   35.509   71.603   36.653    1.445  153.794    2.331    2.136   41.248  241.946    1.175   -1.342    0.116
 115.615   13.297   60.265  145.120    4.039  498.709   -3.771    1.673   47.320  231.914    1.244    1.356    0.880
 142.219   25.112   80.915  227.394    2.489  556.550   -0.940    1.307   50.660  547.255    0.290    1.358    0.999
  88.561    8.604   38.947  278.648    0.187  193.764    2.655    0.647   21.685  480.371    0.515    1.178    0.000
 123.974   29.852   85.214   12.040    3.321  222.243   -2.382    2.822   12.893  160.415    0.724   -1.349    0.985
  80.229   28.146   47.979  128.659    0.574   91.293    2.761    1.261   37.668  265.765    1.458    0.753    0.000
 114.068   61.033   70.672   45.563    1.466  127.577    0.615    3.020    0.555  177.947    0.820    1.412    0.476
 125.966  103.615   58.483   73.975    0.145  100.636    0.072    2.561   22.734  173.384    1.584    0.200    0.000
 108.661   30.111   73.409   74.030    3.235  270.426   -2.519    2.023   22.822  195.825    0.680    1.413    0.378
  86.563   17.382   54.985  162.509    0.815  170.048    7.682    1.127   10.969  360.819    0.317    1.286    0.000
 132.917    6.802   90.815   50.539    5.593  617.986   -7.735    3.027    1.181  167.413    1.454    1.360    0.983
 411.156   23.878  175.143  201.319    5.510 1274.593   -6.462    3.119   43.782  285.377    1.676    0.942    0.994
 137.145   20.874   98.094   46.465    7.970 3197.371  -15.880    2.572    5.813  213.899    1.099    1.405    0.882
 111.766    5.686   57.485   88.906    4.415  610.096   -3.294    1.977   22.453  202.683    0.757    1.125    0.982
  95.920   29.418   65.431   10.871    5.269  978.735   -6.378    2.830    2.938  206.403    1.175    0.600    0.676
 138.866   16.425   98.790   80.089    3.486  355.157   -1.770    2.272   33.070  262.536    0.438    1.404    0.670
 100.880  103.992   65.974   95.008    0.449   84.204    0.901    2.650   17.418  179.849    0.848   -0.563    0.000
  42.637   68.738   32.749   62.681    0.884   52.226    2.888    1.148    0.955  134.427    1.846   -0.002    0.000
 132.926   67.349   95.514  176.417    2.763  392.366   -1.479    1.696    1.819  378.363    0.247    0.680    0.082
  74.431   56.956   57.747   98.994    3.155  566.402   -1.210    1.040   80.130  429.610    0.614   -0.240    0.047
 124.433    8.256   74.252   96.349    5.442 1138.828   -7.227    2.193   18.096  244.508    1.430    1.152    0.959
  91.022   37.067   64.793   11.691    3.138  245.081   -2.439    2.568    2.419  165.351    0.790   -1.389    0.977
 123.582   29.350   66.464   63.070    2.652  115.460   -1.621    2.563    0.936  133.636    0.738    1.399    0.901
 144.639   16.700  107.562   93.424    4.587  639.492   -3.179    1.941    1.059  256.332    0.673    1.390    0.995
 134.142   11.214   89.749   71.732    4.510  362.357   -4.701    2.153   22.251  179.903    0.649    1.261    0.987
 103.212   80.212   76.196  138.752    1.722  255.146    0.091    1.408   99.368  427.001    2.692    0.823    0.005
 106.457   68.201   55.762   90.852    0.021  107.899    3.055    2.002    7.291  308.441    1.852    0.795    0.000
  87.133   38.310   53.948   83.830    1.004  153.648    1.961    1.885   76.225  322.157    1.637    1.413    0.000
 115.697    0.840   69.597  102.543    0.519   76.739    0.166    1.831    4.063  202.790    0.939    1.018    0.000
 154.460   31.781   95.723  128.178    4.459  432.149   -4.315    2.189   40.076  210.766    1.646    1.391    0.644
 114.948   65.011   84.950   26.259    3.828  579.374   -3.426    2.570   32.038  291.267    1.609    0.030    0.513
  61.085   71.828   50.721   21.912    0.541   69.122    4.317    1.942   41.119  132.722    1.813   -1.408    0.000
 269.100   68.783  225.102   89.133    1.756  102.942   -0.689    2.944   21.090  217.865    0.626   -0.576    0.425
 125.763   16.585   86.176   65.835    2.519  295.178    0.691    2.276    4.074  254.639    0.952    1.326    0.720
  93.298   12.375   58.357   43.669    1.649  131.271    1.902    2.668   47.929  167.446    1.391    1.337    0.886
 119.857    8.951   66.037   45.991    0.548   88.741    4.403    2.670    0.387  163.323    0.836    0.060    0.078
 128.779   28.661   83.088  124.828    4.255  506.052   -4.479    1.871    4.512  230.966    0.381    1.255    1.000
 113.824    6.052   83.893   62.091    1.567  146.940    2.326    1.993   33.664  253.725    1.203    0.669    0.001
 289.715  173.686  174.397  197.806    2.478  414.528    0.667    2.308   56.068  482.072    1.059    1.342    0.306
 129.545   56.499   79.576   39.050    0.178  112.738    0.008    2.822    1.597  195.154    1.024    1.393    0.000
 182.143   34.722  142.241   93.761    1.056   64.157    1.697    3.029    2.753  216.500    3.561   -0.781    0.000
 119.744   37.273   80.184   52.003    1.472  179.254   -0.290    2.569   38.818  225.682    0.599    1.378    0.998
 116.908   12.036   73.095   30.482    0.686   68.383    5.400    2.860   31.789  134.252    0.918   -0.935    0.000
  36.794   37.240   22.806  100.879    2.142  130.575   -1.002    0.790    2.053  157.387    0.913    0.116    0.688
 161.538   16.463   97.317   44.766    5.998 1362.397   -8.945    3.076    5.040  244.539    0.341    1.410    0.777
 136.480    2.760   73.134  226.906    3.265  479.476   -1.362    1.395   24.597  312.184    1.848    0.961    0.724
 149.335   24.740  109.096   79.579    0.276   25.087    3.841    2.303    4.151  206.882    0.442    1.392    0.000
  86.313    7.999   61.138   22.541    4.212  313.698   -3.786    2.567    2.593  133.154    1.120   -0.612    0.821
  89.576   29.729   64.975   20.959    2.602  288.506    1.753    3.132    3.883  209.762    1.344   -1.414    0.031
  95.167   10.223   55.251  193.115    0.791   84.344   -0.154    1.262   34.827  304.314    2.643    0.863    0.043
  96.825   20.473   57.801  172.967    2.311  278.738   -1.004    1.233    2.511  291.467    2.176    1.411    0.507
  78.747    3.137   52.191   23.959    2.855  391.375   -1.828    2.872   29.285  303.936    1.523   -0.013    0.177
 106.492   18.578   65.776  195.695    4.419  886.668   -4.743    1.141    3.525  378.153    0.266    1.389    0.982
 133.372   54.545   57.742  103.083    0.110  112.274   -0.003    2.202   91.308  220.815    0.938    1.381    0.000
  86.115   13.887   49.521   59.376    3.019  388.073   -0.919    2.577   20.763  220.479    1.295    1.322    0.984
 139.294   24.458  105.753   38.006    1.094  143.333   -0.179    2.489   23.527  245.867    1.383   -1.375    0.241
 154.281   17.581   71.877   82.901    4.033  457.981   -1.490    2.954    5.474  182.522    0.873    1.339    0.849
 120.005    9.758   75.335  222.630    1.168  111.706   -0.219    1.178   30.408  381.970    0.228    0.584    0.240
 108.385   58.435   78.777   41.525    0.082  334.846    0.015    3.544   24.102  388.984    1.202    1.414    0.000
 115.503    4.816   84.930   43.557    2.716  183.778   -0.121    2.240   12.982  185.551    0.901    0.564    0.963
 138.252   39.797   84.011  115.328    4.915  514.144   -5.468    1.974   41.123  184.806    1.137    1.412    0.958
 121.331   11.217   73.989  159.600    0.010   85.441    0.107    1.976    3.581  286.368    3.138    1.129    0.000
 240.924   26.577  139.456   44.085    0.485   43.163    0.327    3.047   30.140  228.197    0.338   -1.409    0.000
 104.121   61.811   79.636   26.717    2.901  161.587   -2.093    2.261   10.379  156.165    1.084   -1.260    0.565
 142.306   45.323  114.298  153.640    3.931  663.535   -1.656    1.490   33.225  379.600    0.492    0.036    0.971
  98.269    5.494   65.349   21.489    0.493  113.738    0.213    2.639   17.497  180.004    0.871    0.123    0.000
 107.179   32.619   73.862   12.160    1.518  467.466   -0.285    2.758   32.419  461.360    1.080   -1.373    0.000
 143.165  114.659  121.655  178.722    2.317  380.245   -1.342    1.486  111.197  615.312    3.874   -0.018    0.395
  86.220   51.543   60.328  198.216    5.095 1163.855   -6.478    0.912   15.563  372.160    2.487    1.323    0.456
 139.164   69.137   83.592   37.847    0.627   81.906    0.121    2.949   32.446  172.289    0.987    1.395    0.000
  96.257   33.032   57.726  144.073    5.739 1328.346   -7.604    1.315   31.652  281.875    0.489    1.398    0.929
  90.235   22.040   58.282  139.644    1.068   72.349    0.679    1.235   24.208  210.909    0.824    0.403    0.323
  71.519   58.429   54.554   25.256    0.861  131.406    0.158    1.736   25.851  229.715    1.319   -1.388    0.829
 105.653   13.857   51.750  227.755    1.673  218.946    0.387    1.289    2.315  327.049    2.571    1.162    0.143
  85.399   67.460   58.238  156.726    3.023  425.240   -2.283    1.111   71.040  378.601    2.648    1.126    0.481
 140.115    1.664  105.375   96.490    4.011  520.765   -0.760    1.921    1.903  257.654    1.014    1.047    0.860
 125.598  117.518   97.002   74.317    4.328  478.366   -4.266    1.932   42.520  245.297    2.640   -0.095    0.905
  93.325   17.198   61.783   93.301    1.684  207.628    0.508    2.077   64.738  329.145    2.464    1.272    0.000
 109.986    8.621   62.703  133.797    3.069  363.804   -2.322    1.643   27.728  282.277    1.538    1.125    0.850
  90.921   41.917   40.631   99.473    0.356   26.868    2.137    1.657    5.447  154.439    1.895    1.410    0.392
 131.253  100.833  120.870  296.387    1.075  136.938    3.184    1.111    1.622  638.229    0.123   -0.536    0.027
 156.977   63.535  126.412   31.208    1.528  125.565   -0.223    3.755   13.445  150.215    1.676   -1.396    0.000
 101.459   48.916   75.249   62.900    1.404  174.211    0.695    2.182   23.968  203.960    0.863   -0.030    0.020
  76.557    7.227   42.049  107.590    0.599   92.692    0.173    1.474   22.788  203.140    1.399    1.141    0.024
 146.546   60.615  112.868   83.274    2.550  209.452    0.439    2.176    4.259  257.657    0.382   -1.313    0.021
  82.991    1.038   33.503  176.858    1.918  245.122    0.291    1.149    5.547  267.252    1.193    1.019    0.619
  22.580   35.407   15.088   72.944    3.281  668.665   -1.386    0.444   53.043  474.720    2.161   -0.021    0.319
 111.970   64.204   77.320   83.844    3.089  298.830   -2.271    2.837   41.820  254.806    2.315    1.414    1.000
  80.954   25.612   57.012   18.762    0.130   75.935    2.060    2.330    3.848  139.260    0.908   -1.226    0.000
 139.020    4.213   79.107  129.396    1.459  188.839   -0.323    2.579    1.991  272.071    2.624    1.069    0.507
  85.181   34.661   55.521   84.132    0.037   99.634    2.837    1.701   42.297  234.646    1.154    0.125    0.000
 107.264   23.768   55.125  209.827    5.206 1681.518   -6.749    1.014    5.936  369.477    0.485    1.389    0.890
 108.777   76.896   95.574   35.729    1.924  258.429    1.030    3.224   20.231  230.259    1.067   -1.387    0.665
  74.713   79.952   63.678   55.281    0.822  125.094    0.220    1.804   18.650  198.367    2.898   -0.943    0.809
 122.087    7.724   88.907  154.720    0.479   53.695    0.007    1.318   14.459  290.052    1.051    0.852    0.000
 124.112   51.692   93.974  249.060    1.894  272.885    0.581    0.916    3.843  488.695    1.184    1.192    0.359
 157.518   42.507  111.808   68.634    2.034  189.731    2.341    3.005   24.268  200.230    2.035   -0.662    0.118
 100.456    1.755   65.234  179.835    0.089   50.356    0.816    1.325    8.116  301.183    2.877    1.033    0.000
 193.044   28.596  130.996  210.588    0.846   97.516    0.677    2.660    6.200  368.825    5.269    0.512    0.073
 367.021  112.506  304.414   96.182    1.303  237.330   -0.044    3.726    1.512  390.928    4.089   -1.193    0.003
 140.165   47.549  110.661  157.383    1.408   96.783    7.415    1.631   35.148  327.745    0.192   -0.057    0.027
 122.784   17.874   87.623   56.470    1.540  138.934    1.309    2.267   23.009  204.886    0.978    0.092    0.122
 119.799   31.916   86.839   53.598    2.166  207.900   -1.128    2.638    3.545  225.071    1.880    1.410    0.953
 197.677   29.675  106.946  102.329    5.568  718.120   -7.248    2.502   28.237  226.958    0.269    1.401    0.987
 154.955    0.202   64.744  280.652    0.594   90.818   -0.080    1.320   47.543  441.692    1.091    1.002    0.001
 148.341    8.223   98.796   44.458    5.795 1874.444   -7.793    2.884    3.898  280.621    0.602    1.298    0.877
 117.139    9.476   82.187   81.815    2.680  157.388   -1.726    2.341   20.342  178.670    2.098    1.203    0.937
 226.096   19.719  127.527   77.705    0.481  293.173    2.181    2.755   67.619  480.215    0.787    1.320    0.991
 103.006   18.975   47.987  154.465    2.447  496.019   -0.401    1.523    2.964  377.395    1.585    1.277    0.954
 105.921   17.346   68.613  108.439    0.792   46.087   -0.131    1.710    2.748  195.483    1.390    1.294    0.014
 100.748    8.618   64.339   30.670    3.243  183.371    1.785    2.807    0.361  134.099    1.022   -0.622    0.284
  59.588    9.749   27.123  140.510    4.894 1263.601   -5.976    0.923   86.039  285.673    0.835    0.706    0.742
 129.986   32.077   78.676   42.722    1.154  206.128   -0.310    2.759   35.470  266.598    0.879   -1.305    0.039
 134.574    2.653   57.417  170.975    3.483  728.853   -0.614    1.715    1.546  337.213    1.001    1.037    0.325
 422.448    6.798  304.503  268.622    1.033  286.438   -0.053    3.605    3.675  589.100    5.529    0.897    0.010
 206.807   46.793  155.369   14.310    1.515  106.761    5.150    3.775    2.648  166.871    1.587   -1.412    0.891
 105.505    2.425   66.870  152.903    2.526  258.458   -1.347    1.298    6.495  264.774    1.136    1.046    0.007
 151.744    6.989  112.922  360.494    0.443   98.594    1.636    0.861    5.637  634.630    1.819    1.302    0.415
  70.498   45.323   49.458   23.282    0.522   74.427    3.664    2.811   57.884  251.812    1.517   -1.414    0.000
 103.944   53.385   74.380  104.228    2.568  207.235   -1.647    1.619   34.887  223.765    1.223    1.041    0.276
 120.588   10.925   85.371   47.035    2.849  300.598   -0.876    2.724   30.417  240.766    1.790    0.128    0.206
 119.181   43.519   77.513  106.301    4.570  531.840   -5.160    1.830    2.007  203.514    0.979    1.378    0.860
  94.372    2.130   41.198  195.815    1.215  302.707   -0.366    1.029   85.053  498.209    0.902    1.297    0.151
 145.048   23.317   83.585   97.490    2.265  294.209   -0.074    2.318    7.591  257.119    1.153    1.345    0.166
 114.911    8.613   78.030   72.934    2.793  195.268   -1.941    2.240    2.549  165.170    0.675    1.325    0.722
 125.427   66.704   71.164   69.219    3.795  584.069   -0.693    2.549    4.157  255.381    0.717    1.263    0.996
 125.450    8.906   76.246  103.105    1.111   89.760    0.031    1.719   48.175  190.706    0.727    0.796    0.890
 128.651   37.936   86.275  187.988    3.834  619.837   -3.622    1.361    1.506  346.511    0.332    1.359    0.715
  85.842   15.585   57.950  124.371    1.864  183.476   -0.415    1.274   12.848  272.419    0.757    0.921    0.155
 136.846    2.649   97.990   50.425    4.818  869.473   -4.884    3.109    4.226  260.322    1.500    1.384    0.830
 106.049    8.086   59.024  130.340    2.183  250.558    0.234    1.605   12.891  262.010    1.439    0.863    0.004
 107.068    9.771   62.482  103.080    0.431  212.840    2.669    2.115   48.151  358.139    1.932    0.785    0.922
 126.094   51.550   70.717  169.774    3.354 1422.853   -2.801    1.382   23.853  637.308    1.073    1.316    0.815
 115.532   28.628   56.266  145.286    4.795  638.134   -4.927    1.656   28.336  188.696    1.798    1.401    0.999
 146.222   16.208   92.789  192.402    0.281  101.408    0.023    1.403    1.577  339.397    0.780    1.407    0.003
 223.697   57.793  173.934   38.419    0.827   80.227    1.727    3.671   29.892  183.768    2.439   -1.405    0.000
 146.735   59.078   79.663  165.847    0.398  129.408    0.557    2.112   34.028  319.716    2.771    1.382    0.820
  99.456    4.541   49.529  117.939    5.276  891.206   -4.415    1.517    0.697  222.879    0.659    1.096    0.204
